,KYTREASNOX,MCALDT,TMYTM,rf,year,month,realmonth
147,2000001,1985-04-30,7.3525886491967,0.00592988357467128,1985,4,148
148,2000001,1985-05-31,7.029621325751,0.005677342451283263,1985,5,149
149,2000001,1985-06-28,6.6310166669303,0.0053646925814896385,1985,6,150
150,2000001,1985-07-31,7.0609187155444,0.00570184568206078,1985,7,151
151,2000001,1985-08-30,7.0697557904468,0.005708763181643928,1985,8,152
152,2000001,1985-09-30,7.0676980408957,0.005707152459915488,1985,9,153
153,2000001,1985-10-31,7.1725344372112,0.005789177997619355,1985,10,154
154,2000001,1985-11-29,6.5697883558774,0.0053165726016422,1985,11,155
155,2000001,1985-12-31,5.905029558082,0.004792494019325355,1985,12,156
156,2000001,1986-01-31,6.7840189984223,0.005484828102217287,1986,1,157
157,2000001,1986-02-28,6.9473186381042,0.005612874990962746,1986,2,158
158,2000001,1986-03-31,6.2723949856982,0.00508248690149915,1986,3,159
159,2000001,1986-04-30,5.8976753954755,0.004786679342241529,1986,4,160
160,2000001,1986-05-30,6.151619397525,0.004987249952332684,1986,5,161
161,2000001,1986-06-30,5.8851137575474,0.0047767464418553285,1986,6,162
162,2000001,1986-07-31,5.6321402870269,0.004576481731138671,1986,7,163
163,2000001,1986-08-29,5.1222167117085,0.004171464434334915,1986,8,164
164,2000001,1986-09-30,5.1105774962289,0.004162198742156065,1986,9,165
165,2000001,1986-10-31,5.1222167117085,0.004171464434334915,1986,10,166
166,2000001,1986-11-28,4.9595522632541,0.004041885928055766,1986,11,167
167,2000001,1986-12-31,5.1127508153674,0.004163928939293404,1986,12,168
168,2000001,1987-01-30,5.580746766219,0.004535742679347976,1987,1,169
169,2000001,1987-02-27,5.3667452979111,0.004365910507006854,1987,2,170
170,2000001,1987-03-31,5.2022089371928,0.004235118841675156,1987,3,171
171,2000001,1987-04-30,4.8576826943622,0.003960642853202412,1987,4,172
172,2000001,1987-05-29,5.3870775417521,0.004382059820110529,1987,5,173
173,2000001,1987-06-30,4.9273292069404,0.004016195196981487,1987,6,174
174,2000001,1987-07-31,5.6011208336903,0.00455189514218346,1987,7,175
175,2000001,1987-08-31,5.660973020467,0.004599329151498521,1987,8,176
176,2000001,1987-09-30,6.4995382113487,0.005261331037908379,1987,9,177
177,2000001,1987-10-30,4.0225322105362,0.003291851745863772,1987,10,178
178,2000001,1987-11-30,3.5133221670899,0.0028816552613859514,1987,11,179
179,2000001,1987-12-31,3.6869246447683,0.003021708937433365,1987,12,180
180,2000001,1988-01-29,5.2852151959032,0.004301124799171996,1988,1,181
181,2000001,1988-02-29,5.1720374062959,0.004211114834903107,1988,2,182
182,2000001,1988-03-31,5.7340599064974,0.004657218524174889,1988,3,183
183,2000001,1988-04-29,5.7540250100169,0.00467302575293127,1988,4,184
184,2000001,1988-05-31,5.8642692219746,0.0047602615981556795,1988,5,185
185,2000001,1988-06-30,6.5397903917776,0.005292987632602442,1988,6,186
186,2000001,1988-07-29,6.3759838350168,0.0051640923305733555,1988,7,187
187,2000001,1988-08-31,7.2038652151866,0.005813677383972982,1988,8,188
188,2000001,1988-09-30,7.0901677423719,0.005724739281575575,1988,9,189
189,2000001,1988-10-31,6.7413256927113,0.0054513217312404105,1988,10,190
190,2000001,1988-11-30,6.8261217809795,0.005517858997363012,1988,11,191
191,2000001,1988-12-30,6.6105798378857,0.005348633877298115,1988,12,192
192,2000001,1989-01-31,7.8831222935308,0.006343221400983978,1989,1,193
193,2000001,1989-02-28,7.5362087320486,0.006073153123887343,1989,2,194
194,2000001,1989-03-31,8.7754920164773,0.007034280627490119,1989,3,195
195,2000001,1989-04-28,8.5608492038849,0.006868535258726993,1989,4,196
196,2000001,1989-05-31,8.5935381821693,0.00689379679209523,1989,5,197
197,2000001,1989-06-30,8.2542910406789,0.006631291979947829,1989,6,198
198,2000001,1989-07-31,7.84314822343,0.006312142653468689,1989,7,199
199,2000001,1989-08-31,7.7852373731835,0.0062670998136851175,1989,8,200
200,2000001,1989-09-29,7.7537675602021,0.006242613408558251,1989,9,201
201,2000001,1989-10-31,7.6892466395302,0.006192389701092704,1989,10,202
202,2000001,1989-11-30,7.0704420620669,0.005709300360537073,1989,11,203
203,2000001,1989-12-29,6.2637939553281,0.005075707886680769,1989,12,204
204,2000001,1990-01-31,7.6430412332775,0.006156406014374616,1990,1,205
205,2000001,1990-02-28,7.7043367347102,0.0062041384475515216,1990,2,206
206,2000001,1990-03-30,7.9988927590808,0.006433170256471721,1990,3,207
207,2000001,1990-04-30,7.5165806334816,0.0060578490110907435,1990,4,208
208,2000001,1990-05-31,7.3358802745289,0.0059168357194090415,1990,5,209
209,2000001,1990-06-29,7.6414372125354,0.006155156586366228,1990,6,210
210,2000001,1990-07-31,7.4647976288646,0.006017461285447556,1990,7,211
211,2000001,1990-08-31,7.4882784070362,0.00603577713404202,1990,8,212
212,2000001,1990-09-28,7.0187276077419,0.005668812042945781,1990,9,213
213,2000001,1990-10-31,6.7444660259385,0.005453786732181332,1990,10,214
214,2000001,1990-11-30,6.6513962741132,0.005380703513066187,1990,11,215
215,2000001,1990-12-31,5.447024659215,0.004429657462815539,1990,12,216
216,2000001,1991-01-31,5.8768054772784,0.0047701762178054,1991,1,217
217,2000001,1991-02-28,5.7136792636828,0.004641079472824217,1991,2,218
218,2000001,1991-03-28,5.8870017126788,0.004778239379062521,1991,3,219
219,2000001,1991-04-30,5.4160648790163,0.00440507868578921,1991,4,220
220,2000001,1991-05-31,5.3875033663209,0.004382398009712185,1991,5,221
