,1,2,3,4,5,6,7,8,9
13,(-0.07118295391311974+0j),(-0.06461363543460041+0j),(0.05007205002999881+0j),(0.04593776614902919+0j),(-0.05720748086259107+0j),(-0.02568439265295543+0j),(0.0705283000082206+0j),(-0.042720458809159034+0j),(-0.01788362722901831+0j)
14,(-0.002936358899043151+0j),(-0.015372155972833527+0j),(0.009582609160491657+0j),(0.012616740348565633+0j),(-0.009541013089017563+0j),(0.024299170141305053+0j),(-0.012831558291956093+0j),(0.011093453293310043+0j),(0.01818893273218421+0j)
15,(0.022857366052604543+0j),(0.0031743033204175825+0j),(0.015792210908948088+0j),(0.027884256003894933+0j),(-0.0027254846913047945+0j),(0.019663610081891242+0j),(-0.021614518313765103+0j),(0.0016886083974038955+0j),(0.016061745765959333+0j)
16,(0.04147404159892587+0j),(0.04910731602324428+0j),(0.04085754596103894+0j),(-0.004915018413348219+0j),(0.03899911896897154+0j),(-0.03345397684396213+0j),(-0.020523402067394107+0j),(-0.01928375962766624+0j),(-0.04657307593941879+0j)
17,(0.01676351613948937+0j),(0.03227654285747385+0j),(-0.02274870708689842+0j),(8.763359744484446e-05+0j),(0.05189433274400549+0j),(-0.018816776006909206+0j),(0.008289312198483516+0j),(-0.03700000882707095+0j),(-0.015215611376316543+0j)
18,(0.011836844031549358+0j),(0.020607100064480004+0j),(0.011321776669094421+0j),(0.003725748192303855+0j),(0.013425916451300566+0j),(0.020499568449148423+0j),(0.0060852189437985375+0j),(-0.02442704796521909+0j),(-0.00717234700135064+0j)
19,(0.03758890825353886+0j),(0.008501038794463624+0j),(-0.04551181712949744+0j),(0.0035052498243563044+0j),(0.037579811370821795+0j),(0.017026802347149542+0j),(0.012071917978430817+0j),(-0.030013103425156+0j),(0.03797525185225745+0j)
20,(0.04288599485137569+0j),(0.0769998329899832+0j),(0.016967927789465632+0j),(-0.020867786930398907+0j),(0.09538003697099162+0j),(0.019966735126625165+0j),(0.06403651823672356+0j),(0.014479756373262624+0j),(0.014418805186983076+0j)
21,(0.07612054847634099+0j),(0.09167758411259136+0j),(0.037589055593242326+0j),(-0.07364363917690338+0j),(-0.07508979915601391+0j),(-0.009179956224691034+0j),(0.028692087938722594+0j),(-0.0174443331773468+0j),(-0.07076782137388558+0j)
22,(-0.12630217122699997+0j),(-0.12979196901834922+0j),(-0.20795780893615654+0j),(0.0647446210146742+0j),(-0.004311650264834304+0j),(0.1068307841909998+0j),(0.01833424006083505+0j),(-0.014309223125189618+0j),(-0.0784504705701755+0j)
23,(0.06360584999073805+0j),(0.04886045775727151+0j),(-0.0205250196052299+0j),(-0.08805947759680087+0j),(-0.11346748959154718+0j),(-0.0029963939635779956+0j),(-0.0646172211659659+0j),(0.012398345106602966+0j),(0.04287857316776416+0j)
24,(0.028573375238058574+0j),(0.012563229351266721+0j),(-0.0011715187468191485+0j),(0.004101259453389146+0j),(0.009983622362104346+0j),(-0.0160845151356088+0j),(-0.0017414815591436053+0j),(-0.009311364001427881+0j),(0.011749510966974132+0j)
25,(-0.21694209699605402+0j),(-0.0745658664580015+0j),(0.19229752288670893+0j),(0.09593842835993913+0j),(-0.0757543521739574+0j),(-0.2108093619236978+0j),(0.2292404385383504+0j),(0.10374574173339353+0j),(-0.49086453240389366+0j)
26,(-0.02895858964427167+0j),(-0.03010037993022996+0j),(-0.11918681874739571+0j),(-0.07458351538539824+0j),(-0.012982493767452571+0j),(-0.08489907228357435+0j),(0.08108578012238342+0j),(0.10156375297390614+0j),(0.03002119903104874+0j)
27,(-0.0339102943713519+0j),(0.001656557453728797+0j),(0.0997475903458014+0j),(0.06009145718318093+0j),(-0.009013947888123385+0j),(-0.016382078385435428+0j),(-0.034122226783364115+0j),(0.023882659640248924+0j),(-0.014063424230175871+0j)
28,(-0.020207416396386665+0j),(-0.009019799410497532+0j),(-0.10247167673692592+0j),(0.042135581268114966+0j),(0.05975893374415179+0j),(0.03260618894159779+0j),(0.05081550099048015+0j),(0.1614672084627768+0j),(0.06906483800172017+0j)
29,(-0.0525200095640377+0j),(-0.010757157869624697+0j),(0.053077855073654576+0j),(0.03793077427699023+0j),(-0.024703012012865153+0j),(-0.0350168923861936+0j),(-0.10057819202252946+0j),(0.037889729484810675+0j),(-0.02364282231489686+0j)
30,(-0.074503030362947+0j),(0.001892352343509321+0j),(0.023966581661377315+0j),(0.06922365424909806+0j),(0.10818249529237893+0j),(0.052893541251318246+0j),(0.06584130277434702+0j),(-0.015929091664640644+0j),(-0.03761407386363607+0j)
31,(-0.008376258477690713+0j),(-0.030957950076383953+0j),(0.025929281478373884+0j),(0.022119268632377845+0j),(0.020473950200081196+0j),(-0.031160777577418017+0j),(0.02679183946449222+0j),(-0.08033709128543665+0j),(0.04034763048761094+0j)
32,(0.04835736252286784+0j),(0.015315779334813932+0j),(-0.0367120930308096+0j),(-0.030205423665966524+0j),(0.0294749878714831+0j),(-0.009162684727686023+0j),(0.007199351805299165+0j),(0.05785856154331527+0j),(-0.013743904825726455+0j)
33,(0.027376926848067286+0j),(0.0006799566584206531+0j),(0.007403488850568169+0j),(-0.011712030228821049+0j),(-0.025028343918392364+0j),(-0.00293841807301645+0j),(0.011464387576116513+0j),(0.0011316958558174291+0j),(0.02690272776562485+0j)
34,(0.002699916176972352+0j),(0.002501553153311807+0j),(-0.017461563557654283+0j),(0.004456845287587728+0j),(-0.008508351696140861+0j),(0.05362968369821627+0j),(-0.026127328003354464+0j),(0.0738314915983955+0j),(-0.02918723494547872+0j)
35,(-0.002135436499584427+0j),(-0.04134670626242592+0j),(-0.09221742468420344+0j),(-0.07576311175194093+0j),(-0.0358806524558855+0j),(-0.014662527542627458+0j),(0.05939860805454558+0j),(0.03372188959858927+0j),(-0.053584563372731535+0j)
36,(0.010045983873265121+0j),(0.008991600345603305+0j),(0.020718822037136358+0j),(-0.0007666830635753468+0j),(-0.012048490025627835+0j),(0.01421044831254248+0j),(-0.01247412315402542+0j),(0.0037057326372334793+0j),(8.205259634425346e-05+0j)
37,(-0.09228391102862345+0j),(-0.08723586385684051+0j),(0.13062122828503717+0j),(0.028245347015579677+0j),(0.026428624618229916+0j),(0.11267747336677708+0j),(-0.06123950299672976+0j),(0.21412095474037074+0j),(0.03362766245830771+0j)
38,(-0.08016597001758893+0j),(-0.046643676845615004+0j),(0.03767577581600418+0j),(0.08390891741251173+0j),(0.09056623649345023+0j),(0.036215154767974087+0j),(0.10402744926881796+0j),(-0.09651654654605112+0j),(0.025897793141507405+0j)
39,(-0.024861935451466935+0j),(0.025181031442762715+0j),(-0.04657150657706272+0j),(-0.004419127524214625+0j),(0.03259632667994645+0j),(-0.03293523403351933+0j),(-0.006125690916989875+0j),(-0.006672108443135331+0j),(-0.03766195820669206+0j)
40,(0.040664522947569226+0j),(0.008130635659839522+0j),(-0.04071688030746986+0j),(-0.024282917166475695+0j),(-0.01524276761878817+0j),(-0.012129919653606961+0j),(-0.02502063696769732+0j),(0.05720006488669633+0j),(0.010974571769184795+0j)
41,(0.022691461689226217+0j),(0.01236145989383183+0j),(-0.00018990910068752344+0j),(-0.031230143638617865+0j),(-0.010259724050092265+0j),(-0.0143884386418355+0j),(0.01811041888512712+0j),(0.019298218605416237+0j),(-0.019240949808116338+0j)
